FEATURES_TXT_BEGIN_0 0 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-40.5513 -51.2315 -32 28 -1.26189 -1.19119 -0.618686 -1.76944 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 1 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-35.6514 -30.0592 -21 19 -1.2026 -1.00174 -0.619333 -1.75886 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 2 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-26.3812 -29.0202 -25 16 -1.28318 -0.862697 -0.330011 -4.29356 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 3 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-57.631 -84.0272 -37 24 -6.56409 -8.97891 -0.593905 -7.28149 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 4 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-74.8704 -98.1802 -61 44 -3.30486 -8.9384 -1.42714 -10.5193 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 5 2 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-62.6513 -69.2441 -35 21 -3.59049 -11.3622 -0.534037 -5.58017 
-58.4151 -62.7452 -34 21 -7.00731 -14.7473 -1.65402 -5.27441 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 6 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-40.1579 -61.2212 -48 39 -2.38508 -5.63542 -0.939883 -4.42434 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 7 12 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-15.294 -13.3915 -9 6 -1.8397 -0.992966 -0.135119 -0.479156 
-18.3526 -19.5834 -10 8 -0.307753 -0.430839 -0.171736 -0.693428 
-17.8924 -20.0757 -10 6 -2.69431 -5.55553 -3.66675 -7.68236 
-12.9556 -14.7026 -11 6 -4.94604 -0.430839 -6.35233 -4.4564 
-18.2658 -18.553 -12 7 -3.17379 -0.430839 -5.84447 -8.89621 
-18.4248 -24.0017 -11 7 -1.61557 -4.78975 -5.88638 -8.02471 
-19.7685 -24.6457 -10 6 -4.29007 -5.63726 -4.18341 -7.3406 
-20.9969 -47.6249 -16 8 -1.15533 -2.64503 -7.0769 -24.1656 
-18.5379 -20.7627 -10 8 -4.72857 -4.78975 -5.13346 -5.60756 
-19.4742 -22.4414 -13 6 -4.35099 -3.37283 -7.45094 -14.5077 
-19.7201 -24.1641 -10 7 -4.3456 -4.73556 -5.2296 -5.45274 
-22.724 -23.754 -11 6 -4.52487 -6.62108 -5.66378 -12.4362 
FEATURES_TXT_END_0
FEATURES_TXT_BEGIN_0 8 1 8 LM0_0 LM1_0 WordPenalty0_0 PhrasePenalty0_0 TranslationModel0_0 TranslationModel0_1 TranslationModel0_2 TranslationModel0_3 
-12.8095 -18.8544 -15 14 -0.949623 -0.565154 -0.352425 -0.572893 
FEATURES_TXT_END_0
